Guid,AccountId,LastName,FirstName,Salutation,OtherStreet,OtherCity,OtherState,OtherPostalCode,OtherCountry,OtherLatitude,OtherLongitude,OtherGeocodeAccuracy,MailingStreet,MailingCity,MailingState,MailingPostalCode,MailingCountry,MailingLatitude,MailingLongitude,MailingGeocodeAccuracy,Phone,Fax,MobilePhone,HomePhone,OtherPhone,AssistantPhone,ReportsToId,Email,Title,Department,AssistantName,LeadSource,Birthdate,Description,HasOptedOutOfEmail,EmailBouncedReason,EmailBouncedDate,Jigsaw,IndividualId,ccrz__CompanyName__c,ccrz__CompanyType__c,ccrz__DataId__c,ccrz__IsPortalUser__c,ccrz__SelfRegistered__c,Product_Areas__c
067d38fa-40f4-4a35-b504-100db4060c03,39fad5ac-005c-4b38-b741-e61c350cbc0c,Redford,Jeana,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(535) 474-3781,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+187@gmail.com,CEO,#N/A,#N/A,#N/A,#N/A,"David Cordani became President and CEO of Cigna in 2009 and has spearheaded its transformation into a leading global health service company, doubling the size of the company in six years. He is a prominent voice addressing key health challenges, such as the empowering of individuals to manage their own health, innovating new health delivery models focused on patients’ health improvements, and partnering with physicians to focus on wellness, and improving clinical quality.",false,#N/A,,#N/A,,Prodly,#N/A,#N/A,false,false,#N/A
0702168c-524f-4411-97e2-00dc84cddfb5,4aacc34c-f7ad-42a6-90a9-4fe5a81e0fe0,Ivor,Lurette,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,011 49 69 3576 6843,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+494@gmail.com,COO,#N/A,#N/A,#N/A,1977-09-26,#N/A,false,#N/A,,#N/A,,Prodly,#N/A,#N/A,false,false,#N/A
08c98f39-03ef-458f-9b0f-d29533ad2928,7d9e4ef2-c713-41bd-9662-8a3b2953702f,Neale,Adria,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(312)659-4516,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+294@gmail.com,CFO,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,,#N/A,,Prodly,#N/A,#N/A,false,false,#N/A
09395b2f-36ed-4538-9863-6addd22c7528,06772fb8-581c-442b-af31-c8000c725cb9,Morie,Kristal,#N/A,#N/A,#N/A,#N/A,2454,#N/A,#N/A,#N/A,#N/A,26 Dalgarno Street,KALANG,NSW,#N/A,Australia,#N/A,#N/A,#N/A,(03) 5338 3990,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+664@gmail.com,CFO,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,,#N/A,,Prodly,#N/A,#N/A,false,false,#N/A
095a1f97-3619-4b35-9d84-86c5e8c540a7,1428ad1a-54ab-4a26-9fa9-3132d8c35782,Ximenez,Rhody,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,+81 725 925939,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+622@gmail.com,"Vice President, IT",#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,,#N/A,,Prodly,#N/A,#N/A,false,false,#N/A
09698aa8-173d-45aa-8b3f-a08e906b2849,56c3380d-3fef-4f9d-9a48-939666a8bddd,Harland,Zandra,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(339) 279-0378,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+289@gmail.com,"EVP, Secretary and General Counsel",#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,,#N/A,,Prodly,#N/A,#N/A,false,false,#N/A
09c1c0ad-c132-43f6-85ad-dfc07c9812bc,05ad14ed-a4b3-4b05-a662-ba90845e0c72,Daven,Dawna,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(294) 465-2946,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+279@gmail.com,"Executive Vice President, Corporate Marketing and Communications",#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,,#N/A,,Prodly,#N/A,#N/A,false,false,#N/A
09cd89da-945d-4580-b112-c811ad68d735,db328162-a40e-4da9-b47f-3dc0b3a60e2e,Olivero,Indira,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4 Yawkey Way,Boston,MA,2215,USA,#N/A,#N/A,#N/A,(486) 929-5911,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+874@gmail.com,SVP & General Counsel,#N/A,#N/A,#N/A,#N/A,"Chandler joined Cisco in 1996, when Cisco acquired StrataCom, Inc., where he had been general counsel. Prior to StrataCom, he served for six years as vice president of corporate development and general counsel for Maxtor Corporation, a Fortune 500 hard disk drive manufacturer.",false,#N/A,,#N/A,,Prodly,#N/A,#N/A,false,false,#N/A
09f60e80-8708-4103-9bd9-9afc46f360d8,eed55588-9c31-4925-b846-863cf35c1063,Elnar,Anni,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,14 Ross Road,Marple,#N/A,SK6 4HJ,UK,#N/A,#N/A,#N/A,79 0017 4455,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+74@gmail.com,CEO,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,,#N/A,,Prodly,#N/A,#N/A,false,false,#N/A
0a05dad9-ee18-48c2-9ec7-c47dcde78b4c,06772fb8-581c-442b-af31-c8000c725cb9,Reinhard,Darda,#N/A,#N/A,#N/A,#N/A,3293,#N/A,#N/A,#N/A,#N/A,32 Railway Street,GLENTHOMPSON,VIC,#N/A,Australia,#N/A,#N/A,#N/A,(03) 5338 3989,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+663@gmail.com,CEO,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,,#N/A,,Prodly,#N/A,#N/A,false,false,#N/A
0a5b010a-0ac1-4fe7-a3fd-7ded9a6a2845,d0cc7617-47ea-4970-bfe0-d8b7b50be01b,Gilbert,Mimi,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(402)952-5054,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+302@gmail.com,CTO,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,,#N/A,,Prodly,#N/A,#N/A,false,false,#N/A
0a781145-2ce2-4e21-865c-dea39fee51e7,866b4a5b-45c4-4fa1-a8ce-4ded9c1eb325,Chip,Grier,#N/A,#N/A,Pueblo,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,336 Erie Plaza,#N/A,CO,81005,USA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+681@gmail.com,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,,#N/A,,Prodly,#N/A,#N/A,false,false,#N/A
0b2d197f-fa0c-44aa-a1c8-93ab9ad20b10,1428ad1a-54ab-4a26-9fa9-3132d8c35782,Beau,Zitella,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,+81 725 925939,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+620@gmail.com,CIO,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,,#N/A,,Prodly,#N/A,#N/A,false,false,#N/A
0bdb056c-26d4-4380-8be8-4fcdabc44233,b23afcaa-b2e3-486e-bdba-90304e8585d3,Killie,Sybille,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(354) 765-5274,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+291@gmail.com,CEO,#N/A,#N/A,#N/A,#N/A,"Brian Cornell is board chairman and CEO of Target Corp. He is responsible for Target’s global business, including more than 1,800 U.S. stores and Target.com, more than 320,000 team members and millions of guests.",false,#N/A,,#N/A,,Prodly,#N/A,#N/A,false,false,#N/A
0bf9a3d1-f1ac-4a9e-8ef9-0721ad11c2ea,2214be73-a2ef-4d40-9324-b63950d20651,Johan,Shelagh,#N/A,200 Elizabeth Street,Melbourne,VIC,3000,Australia,#N/A,#N/A,#N/A,200 Elizabeth Street,Melbourne,VIC,3000,Australia,#N/A,#N/A,#N/A,(03) 7438 7081,(03) 7438 7081,0415 327 476,#N/A,#N/A,(03) 7438 7081,#N/A,jmanningcongagdo+4@gmail.com,"VP, Procurement",Operations,#N/A,#N/A,#N/A,#N/A,false,#N/A,,#N/A,,Prodly,#N/A,#N/A,false,false,#N/A
0c70b8e0-c040-42a0-9928-635c10ce9d66,d70e92b5-1314-48cf-ad52-6dcbd196a36b,Fee,Giacinta,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(440)475-1490,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+308@gmail.com,CEO,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,,#N/A,,Prodly,#N/A,#N/A,false,false,#N/A
0c7bce37-68e0-456e-8e61-2f04aa17c8a5,f8a47c2c-fc3b-4c9e-9acb-3d22bef201df,Abie,Arabel,#N/A,390 Harris Street,Sydney,NSW,2007,Australia,#N/A,#N/A,#N/A,390 Harris Street,Sydney,NSW,2007,Australia,#N/A,#N/A,#N/A,(02) 7167 8293,(02) 7167 8293,0421 168 430,#N/A,#N/A,(02) 7167 8293,#N/A,jmanningcongagdo+1@gmail.com,Head of Partner Relations,Sales,#N/A,#N/A,#N/A,#N/A,false,#N/A,,#N/A,,Prodly,#N/A,#N/A,false,false,#N/A
0d717e91-e115-4ac6-8ddf-cce1a6d758d5,eed55588-9c31-4925-b846-863cf35c1063,Abbey,Georgetta,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,011 49 69 3576 6843,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+544@gmail.com,COO,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,,#N/A,,Prodly,#N/A,#N/A,false,false,#N/A
0d95bf24-8d3b-407d-88a3-2af8d7e9ac6b,585bca4c-9bb4-40fb-9335-006d91298dc2,Charlton,Kynthia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(417)579-6038,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+207@gmail.com,COO,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,,#N/A,,Prodly,#N/A,#N/A,false,false,#N/A
0dfb1b14-fae8-4876-98a3-b68519480e9b,a0fa5923-8383-4b45-a5c0-8512b7433db6,Bartlett,Janey,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(703) 436-5541,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+383@gmail.com,"Senior Vice President, Customer Service Delivery",#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,,#N/A,,Prodly,#N/A,#N/A,false,false,#N/A
0e10c8ff-be74-47dc-b921-04051c2a9896,e1a5cd00-57ea-4cfa-b0ed-daba7d98a467,Clem,Cherice,#N/A,40 Toirram Cr,Cranbourne,VIC,3977,Australia,#N/A,#N/A,#N/A,40 Toirram Cr,Cranbourne,VIC,3977,Australia,#N/A,#N/A,#N/A,(03) 7431 6574,(03) 7431 6574,0418 891 451,#N/A,#N/A,(03) 7431 6574,#N/A,jmanningcongagdo+738@gmail.com,Director of Public Relations,Marketing,#N/A,#N/A,#N/A,#N/A,false,#N/A,,#N/A,,Prodly,#N/A,#N/A,false,false,#N/A
0e39cfd9-7f59-4a4d-a0a8-1dfa8eefb123,de3936c7-8278-4140-b708-b290024bd48f,Lorant,Grazia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(299) 738-2271,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+464@gmail.com,CFO,#N/A,#N/A,#N/A,#N/A,"Frank D’Amelio is the executive vice president, business operations and chief financial officer of Pfizer, responsible for finance, business development and business operations, including IT, procurement and real estate.",false,#N/A,,#N/A,,Prodly,#N/A,#N/A,false,false,#N/A
0ece7352-dd79-4304-bee7-92099c923f70,f2cd59e3-aa50-4339-8d2b-855f9dab75d7,Bartholemy,Lavena,#N/A,#N/A,Indianapolis,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,71 Miller Hill,#N/A,IN,46202,USA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+679@gmail.com,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,,#N/A,,Prodly,#N/A,#N/A,false,false,#N/A
1107f498-2673-4c5e-9cfe-227de594c95f,98b0934c-77a1-4f4f-9893-35c2ae5f049a,Donovan,Lula,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1500 South Capitol Street Southeast,Washington,DC,20003,USA,#N/A,#N/A,#N/A,(196) 494-2344,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+136@gmail.com,Senior Vice President and Treasurer,#N/A,#N/A,#N/A,#N/A,#N/A,false,#N/A,,#N/A,,Prodly,#N/A,#N/A,false,false,#N/A
121f5483-c2cc-4f23-a515-2d9dc73f42a5,79a3828a-4134-48e5-8077-9a6492c2447f,Kalle,Sindee,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100 Art Rooney Avenue,Pittsburgh,PA,15212,USA,#N/A,#N/A,#N/A,(101) 570-8040,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,jmanningcongagdo+826@gmail.com,"EVP, General Counsel & Secretary",#N/A,#N/A,#N/A,#N/A,"Ms. Rucker joined Andeavor in March 2016 and is responsible for the company’s Legal and Corporate Affairs functions, which include corporate governance and securities law; litigation; business ethics and compliance; transactions; intellectual property; external and internal communications; community involvement initiatives and federal, state and local government affairs.",false,#N/A,,#N/A,,Prodly,#N/A,#N/A,false,false,#N/A
